conversation_id,vader_pos,vader_neg,vader_neu,vader_compound,tb_polarity,tb_subjectivity
c98b2265db2bd318083b36416cd608eb,0.212,0.152,0.636,0.9788,0.1529761904761905,0.6571428571428571
b3eb2a6567ae266d6165eac32201c9d3,0.187,0.006,0.807,1.0,0.21503213957759398,0.5197163190345008
c9c927e673800f2463a910a3f830e286,0.139,0.0,0.861,0.9404,0.18541666666666667,0.5145833333333334
a88c56761e66c69c4966d029e71a653c,0.141,0.002,0.856,0.9982,0.19084033613445384,0.3943697478991597
e47ac8d1aa2147ac805d099a87e2ee27,0.103,0.004,0.894,0.994,0.11140545060999606,0.47039551357733167
3fd30502039d7f9fbf227824798ba312,0.077,0.0,0.923,0.891,0.13333333333333333,0.4666666666666666
29b270a0e8b3d8596d86aa26efed8e9d,0.017,0.022,0.961,-0.1027,0.07833333333333334,0.38214285714285706
fb0d889e051cfa90475c0cac7403b6ce,0.208,0.016,0.777,1.0,0.24074139225068006,0.5042124928734835
fc09366967bfe78876c034661f6a8e71,0.044,0.036,0.921,0.9814,0.19807067932067932,0.42740211177711174
6c62f12dd37630bfe62db5c027537552,0.0,0.075,0.925,-0.6759,-0.625,1.0
70fa7c37bf1ef283d74aa966382ddd9f,0.128,0.174,0.699,-0.9995,0.11240470085470089,0.5837517094017098
892aa5129e366c2942c74141673a76ee,0.149,0.009,0.842,0.9954,0.11156974153297679,0.5406162464985994
cb89120432353e747b61d9315768b5fc,0.136,0.139,0.725,-0.9379,0.19022144522144524,0.5698285048285048
2684659476ad0ea74b0cca0f479655a7,0.036,0.008,0.956,0.9246,0.13166666666666668,0.4097222222222222
048750b620de7508590fb3bcc5e79106,0.0,0.0,1.0,0.0,0.13636363636363635,0.45454545454545453
3a8e75aee27ebd7cd61dea631fe39918,0.0,0.0,1.0,0.0,0.0,0.0
673983be8853c4bcd4435768b93f53c2,0.2,0.03,0.77,0.9362,0.144375,0.47750000000000004
f4491632799189351b5c752918c1485d,0.122,0.072,0.806,0.9876,0.062222222222222234,0.5037179487179486
4a7801be34347e54ff969c9273027206,0.154,0.169,0.677,-0.9978,0.14965032481569446,0.6867141537666831
237f806ac4569a6dfd685f57774d5a55,0.059,0.015,0.926,0.9986,0.061797921071176876,0.4659849065663018
4772384cbe8ec578852bfbc0f7956c66,0.119,0.034,0.848,0.9168,0.15000000000000002,0.3743055555555556
1f39a9b463bc4f6b5a5889c67492e28c,0.132,0.01,0.858,0.9651,0.15208333333333332,0.4138888888888889
c4de51f83ebe7a4bfe373518e5ccd9cf,0.062,0.011,0.927,0.7269,-0.007894736842105265,0.36491228070175447
0bab344a03408121c8d4898791e0e727,0.089,0.24,0.671,-0.9988,-0.16380208333333335,0.6307291666666667
8a939ed7f3e5de1bdc67c060cb4c0135,0.234,0.0,0.766,0.9451,0.33376623376623377,0.44945887445887445
